PROVINCIA; URBANA ; RURAL ;TOTAL
AZUAY; 485,929 ; 395,465 ;881394
BOLIVAR; 68,289 ; 141,644 ;209933
CAÑAR; 136,739 ; 144,657 ;281396
CARCHI; 99,642 ; 87,227 ;186869
COTOPAXI; 165,211 ; 323,505 ;488716
CHIMBORAZO; 223,922 ; 300,082 ;524004
EL ORO; 558,032 ; 157,719 ;715751
ESMERALDAS; 394,098 ; 249,556 ;643654
GUAYAS; 3,719,379 ; 668,055 ;4387434
IMBABURA; 263905 ; 212352 ;476257
LOJA; 338633 ; 182521 ;521154
LOS RIOS; 523897 ; 397866 ;921763
MANABI; 950439 ; 611640 ;1562079
MORONA SANTIAGO; 66475 ; 130060 ;196535
NAPO; 48222 ; 85483 ;133705
PASTAZA; 50737 ; 63465 ;114202
PICHINCHA; 2034138 ; 1194095 ;3228233
TUNGURAHUA; 228847 ; 361753 ;590600
ZAMORA CHINCHIPE; 53461 ; 66955 ;120416
GALAPAGOS; 17962 ; 15080 ;33042
SUCUMBIOS; 101702 ; 128801 ;230503
ORELLANA; 90633 ; 70705 ;161338
SANTO DOMINGO; 356477 ; 102103 ;458580
SANTA ELENA; 215664 ; 185514 ;401178
