PROVINCIA;CANTON;POBLACION
AZUAY;CUENCA;636.996
AZUAY;GIRON;13.037
AZUAY;GUALACEO;49.104
AZUAY;NABON;17.292
AZUAY;PAUTE;29.214
AZUAY;PUCARA;10.584
AZUAY;SAN FERNANDO;4.156
AZUAY;SANTA ISABEL;20.935
AZUAY;SIGSIG;30.509
AZUAY;OÑA;4.128
AZUAY;CHORDELEG;15.176
AZUAY;EL PAN;3.091
AZUAY;SEVILLA DE ORO;6.890
AZUAY;GUACHAPALA;3.859
AZUAY;CAMILO PONCE;36.423
BOLIVAR;GUARANDA;108.763
BOLIVAR;CHILLANES;16.850
BOLIVAR;SAN JOSE DE CH;17.378
BOLIVAR;ECHEANDIA;14.081
BOLIVAR;SAN MIGUEL;29.004
BOLIVAR;CALUMA;16.429
BOLIVAR;LAS NAVES;7.428
CAÑAR;AZOGUES;86.276
CAÑAR;BIBLIAN;23.741
CAÑAR;CAÑAR;68.747
CAÑAR;LA TRONCAL;76.872
CAÑAR;EL TAMBO;12.462
CAÑAR;DELEG;6.782
CAÑAR;SUSCAL;6.516
CARCHI;TULCAN;102.395
CARCHI;BOLIVAR;15.528
CARCHI;ESPEJO;13.817
CARCHI;MIRA;11.969
CARCHI;MONTUFAR;34.229
CARCHI;SAN PEDRO DE;8.931
COTOPAXI;LATACUNGA;205.624
COTOPAXI;LA MANA;56.905
COTOPAXI;PANGUA;24.612
COTOPAXI;PUJILI;79.772
COTOPAXI;SALCEDO;67.100
COTOPAXI;SAQUISILI;31.426
COTOPAXI;SIGCHOS;23.277
CHIMBORAZO;RIOBAMBA;264.048
CHIMBORAZO;ALAUSI;45.054
CHIMBORAZO;COLTA;44.838
CHIMBORAZO;CHAMBO;13.378
CHIMBORAZO;CHUNCHI;12.795
CHIMBORAZO;GUAMOTE;58.291
CHIMBORAZO;GUANO;48.395
CHIMBORAZO;PALLATANGA;12.277
CHIMBORAZO;PENIPE;6.955
CHIMBORAZO;CUMANDA;17.973
EL ORO;MACHALA;289.141
EL ORO;ARENILLAS;33.473
EL ORO;ATAHUALPA;6.436
EL ORO;BALSAS;9.233
EL ORO;CHILLA;2.379
EL ORO;EL GUABO;63.645
EL ORO;HUAQUILLAS;60.440
EL ORO;MARCABELI;6.259
EL ORO;PASAJE;87.723
EL ORO;PIÑAS;30.206
EL ORO;PORTOVELO;14.028
EL ORO;SANTA ROSA;82.171
EL ORO;ZARUMA;25.654
EL ORO;LAS LAJAS;4.963
ESMERALDAS;ESMERALDAS;218.727
ESMERALDAS;ELOY ALFARO;45.629
ESMERALDAS;MUISNE;31.106
ESMERALDAS;QUININDE;145.879
ESMERALDAS;SAN LORENZO;62.772
ESMERALDAS;ATACAMES;55.495
ESMERALDAS;RIOVERDE;31.475
GUAYAS;GUAYAQUIL;2.723.665
GUAYAS;ALFREDO BAQU;32.110
GUAYAS;BALAO;26.348
GUAYAS;BALZAR;60.260
GUAYAS;COLIMES;26.169
GUAYAS;DAULE;173.684
GUAYAS;DURAN;315.724
GUAYAS;EL EMPALME;86.073
GUAYAS;EL TRIUNFO;59.636
GUAYAS;MILAGRO;199.835
GUAYAS;NARANJAL;95.052
GUAYAS;NARANJITO;43.862
GUAYAS;PALESTINA;18.451
GUAYAS;PEDRO CARBO;51.802
GUAYAS;SAMBORONDO;102.404
GUAYAS;SANTA LUCIA;45.004
GUAYAS;URBINA JADO;65.765
GUAYAS;YAGUACHI;78.204
GUAYAS;PLAYAS;59.628
GUAYAS;SIMON BOLIVAR;32.224
GUAYAS;CORONEL MARC;13.132
GUAYAS;LOMAS DE SARG;24.220
GUAYAS;NOBOL;26.444
GUAYAS;GENERAL ANTO;13.156
GUAYAS;ISIDRO AYORA;14.582
IMBABURA;IBARRA;221.149
IMBABURA;ANTONIO ANTE;54.311
IMBABURA;COTACACHI;44.203
IMBABURA;OTAVALO;125.785
IMBABURA;PIMAMPIRO;13.269
IMBABURA;SAN MIGUEL DE;17.540
LOJA;LOJA;274.112
LOJA;CALVAS;29.565
LOJA;CATAMAYO;35.961
LOJA;CELICA;16.160
LOJA;CHAGUARPAMB;6.620
LOJA;ESPINDOLA;14.209
LOJA;GONZANAMA;10.953
LOJA;MACARA;20.269
LOJA;PALTAS;23.471
LOJA;PUYANGO;15.925
LOJA;SARAGURO;33.506
LOJA;SOZORANGA;7.121
LOJA;ZAPOTILLO;14.325
LOJA;PINDAL;10.540
LOJA;QUILANGA;4.197
LOJA;OLMEDO;4.220
LOS RIOS;BABAHOYO;175.281
LOS RIOS;BABA;43.429
LOS RIOS;MONTALVO;28.720
LOS RIOS;PUEBLOVIEJO;44.725
LOS RIOS;QUEVEDO;213.842
LOS RIOS;URDANETA;32.618
LOS RIOS;VENTANAS;75.146
LOS RIOS;VINCES;82.329
LOS RIOS;PALENQUE;23.638
LOS RIOS;BUENA FE;83.654
LOS RIOS;VALENCIA;54.637
LOS RIOS;MOCACHE;43.316
LOS RIOS;QUINSALOMA;20.428
MANABI;PORTOVIEJO;321.800
MANABI;BOLIVAR;45.493
MANABI;CHONE;131.002
MANABI;EL CARMEN;111.344
MANABI;FLAVIO ALFARO;23.822
MANABI;JIPIJAPA;74.645
MANABI;JUNIN;18.820
MANABI;MANTA;264.281
MANABI;MONTECRISTI;107.785
MANABI;PAJAN;37.093
MANABI;PICHINCHA;29.599
MANABI;ROCAFUERTE;37.312
MANABI;SANTA ANA;48.152
MANABI;SUCRE;62.443
MANABI;TOSAGUA;42.297
MANABI;24 DE MAYO;28.514
MANABI;PEDERNALES;63.441
MANABI;OLMEDO;10.194
MANABI;PUERTO LOPEZ;24.688
MANABI;JAMA;26.116
MANABI;JARAMIJO;28.439
MANABI;SAN VICENTE;24.799
MORONA SANTIAGO;MORONA;58.281
MORONA SANTIAGO;GUALAQUIZA;19.555
MORONA SANTIAGO;LIMON INDANZ;10.349
MORONA SANTIAGO;PALORA;7.719
MORONA SANTIAGO;SANTIAGO;11.087
